Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms)
199.102.107.145:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,572
184.170.249.65:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1062
98.175.31.195:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1160
184.178.172.28:15294,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1127
49.0.156.20:32000,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,3715
120.25.189.254:5060,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,4557
8.220.204.215:808,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,4407
98.181.137.80:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1050
185.228.89.74:1080,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,7940
95.163.20.1:4153,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,8845
47.104.27.165:8090,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,4585
68.71.249.153:48606,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,430
39.102.209.163:8081,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,6061
184.178.172.26:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1049
198.8.84.3:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,498
38.226.49.124:1080,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,2947
154.18.220.190:5678,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,6873
2.115.212.62:48293,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,9046
142.54.231.38:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,422
142.54.232.6:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,456
45.144.214.8:1081,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1428
8.134.149.133:8800,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,4541
121.43.109.88:3128,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,4619
88.213.214.254:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,5670
213.7.196.26:4153,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,6684
192.111.129.145:16894,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,919
58.65.167.165:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,7288
47.91.29.151:91,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,4344
72.195.114.184:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1058
1.20.254.32:4153,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1555
8.213.156.191:9098,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,4548
8.220.204.215:443,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,4434
