Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
85.209.156.148:1080,SOCKS5,Finland,FI,🇫🇮,0,low,No,Oy Crea Nova Hosting Solution Ltd,4443,Not Checked,,
185.216.71.119:9150,SOCKS5,Finland,FI,🇫🇮,0,low,No,Play2go International Limited,11235,Not Checked,,
85.209.156.148:1080,SOCKS5,Finland,FI,🇫🇮,0,low,No,Oy Crea Nova Hosting Solution Ltd,5501,Not Checked,,
185.99.98.65:40001,SOCKS5,Finland,FI,🇫🇮,0,low,Yes,NetCrafters OU,9275,Not Checked,,
185.216.71.119:9150,SOCKS5,Finland,FI,🇫🇮,0,low,No,Play2go International Limited,3672,Not Checked,,
185.99.98.65:1081,SOCKS5,Finland,FI,🇫🇮,0,low,Yes,NetCrafters OU,1344,Not Checked,,
37.27.102.106:9050,SOCKS5,Finland,FI,🇫🇮,4,low,No,Hetzner Online GmbH,6158,Not Checked,,
193.221.203.14:1080,SOCKS5,Finland,FI,🇫🇮,4,low,No,Baykov Ilya Sergeevich,7215,Not Checked,,
65.21.252.66:10811,SOCKS5,Finland,FI,🇫🇮,6,low,No,Hetzner Online GmbH,2525,Not Checked,,
65.21.252.66:10801,SOCKS5,Finland,FI,🇫🇮,6,low,No,Hetzner Online GmbH,6162,Not Checked,,
65.21.252.66:10811,SOCKS5,Finland,FI,🇫🇮,6,low,No,Hetzner Online GmbH,2202,Not Checked,,
65.21.252.66:10801,SOCKS5,Finland,FI,🇫🇮,6,low,No,Hetzner Online GmbH,1284,Not Checked,,
135.181.79.187:40001,SOCKS5,Finland,FI,🇫🇮,6,low,No,Hetzner Online GmbH,1124,Not Checked,,
135.181.79.187:40001,SOCKS5,Finland,FI,🇫🇮,6,low,No,Hetzner Online GmbH,1306,Not Checked,,
193.233.139.106:1080,SOCKS5,Finland,FI,🇫🇮,11,low,No,Aeza International LTD,1977,Not Checked,,
193.233.139.106:1080,SOCKS5,Finland,FI,🇫🇮,11,low,No,Aeza International LTD,1521,Not Checked,,
193.233.199.21:1080,SOCKS5,Finland,FI,🇫🇮,25,medium,No,Global Connectivity Solutions LLP,1670,Not Checked,,
83.147.216.208:1080,SOCKS5,Finland,FI,🇫🇮,44,medium,No,NetCrafters OU,1714,Not Checked,,
83.147.216.208:1080,SOCKS5,Finland,FI,🇫🇮,44,medium,No,NetCrafters OU,1247,Not Checked,,
