Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
109.172.55.227:1082,SOCKS5,France,FR,🇫🇷,25,medium,No,Global Connectivity Solutions LLP,2057,Not Checked,,
109.172.55.210:1082,SOCKS5,France,FR,🇫🇷,25,medium,No,Global Connectivity Solutions LLP,996,Not Checked,,
109.172.55.177:1082,SOCKS5,France,FR,🇫🇷,25,medium,No,Global Connectivity Solutions LLP,3037,Not Checked,,
109.172.55.227:1082,SOCKS5,France,FR,🇫🇷,25,medium,No,Global Connectivity Solutions LLP,4053,Not Checked,,
109.172.55.210:1082,SOCKS5,France,FR,🇫🇷,25,medium,No,Global Connectivity Solutions LLP,999,Not Checked,,
51.15.253.45:8080,SOCKS5,France,FR,🇫🇷,34,medium,No,SCALEWAY,4725,Not Checked,,
51.15.253.45:8080,SOCKS5,France,FR,🇫🇷,34,medium,No,SCALEWAY,4125,Not Checked,,
51.159.149.245:80,SOCKS5,France,FR,🇫🇷,34,medium,No,SCALEWAY,1152,Not Checked,,
51.159.149.245:80,SOCKS5,France,FR,🇫🇷,34,medium,No,SCALEWAY,1204,Not Checked,,
51.178.49.241:1088,SOCKS5,France,FR,🇫🇷,41,medium,No,OVH SAS,1773,Not Checked,,
51.178.49.241:1088,SOCKS5,France,FR,🇫🇷,41,medium,No,OVH SAS,2686,Not Checked,,
