Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
103.76.149.140:1080,SOCKS5,Indonesia,ID,🇮🇩,0,low,No,PT. Java Digital Nusantara,4191,Not Checked,,
103.142.255.32:1080,SOCKS5,Indonesia,ID,🇮🇩,0,low,No,PT.CITRA BERDIKARI NUSANTARA,3484,Not Checked,,
103.174.122.197:8199,SOCKS5,Indonesia,ID,🇮🇩,0,low,No,PT Jaya Sejahtra Nugraha,6523,Not Checked,,
160.22.200.60:69,SOCKS5,Indonesia,ID,🇮🇩,0,low,No,PT Karangmukti Global Netmedia,5449,Not Checked,,
202.43.165.140:10802,SOCKS5,Indonesia,ID,🇮🇩,0,low,Yes,DTPNet,2334,Not Checked,,
103.134.220.143:1080,SOCKS5,Indonesia,ID,🇮🇩,0,low,No,PT GLOBAL MEDIA PRATAMA SOLUSINDO,7531,Not Checked,,
103.165.128.75:1080,SOCKS5,Indonesia,ID,🇮🇩,0,low,No,PT iForte Global Internet,4189,Not Checked,,
160.22.200.60:69,SOCKS5,Indonesia,ID,🇮🇩,0,low,No,PT Karangmukti Global Netmedia,5511,Not Checked,,
202.43.165.140:10802,SOCKS5,Indonesia,ID,🇮🇩,0,low,Yes,DTPNet,3100,Not Checked,,
103.187.162.75:8199,SOCKS5,Indonesia,ID,🇮🇩,0,low,No,PT MISQOT SEJAHTERA INDONESIA,4127,Not Checked,,
103.160.68.143:80,SOCKS5,Indonesia,ID,🇮🇩,0,low,No,PT Gayatri Lintas Nusantara,5474,Not Checked,,
103.187.162.75:8199,SOCKS5,Indonesia,ID,🇮🇩,0,low,No,PT MISQOT SEJAHTERA INDONESIA,4671,Not Checked,,
103.31.235.212:69,SOCKS5,Indonesia,ID,🇮🇩,0,low,Yes,PT Usaha Adi Sanggoro,3591,Not Checked,,
103.189.63.149:53053,SOCKS5,Indonesia,ID,🇮🇩,25,medium,No,PT Blip Integrator Provider,7143,Not Checked,,
