Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
5.175.192.43:1080,SOCKS5,Netherlands,NL,🇳🇱,0,low,No,Simon Mariacher,2109,Yes,86.6,8/8
145.220.227.1:9050,SOCKS5,Netherlands,NL,🇳🇱,0,low,No,SURFnet III d,1631,Yes,93.3,8/8
145.220.227.7:8080,SOCKS5,Netherlands,NL,🇳🇱,0,low,No,SURFnet III d,1607,Yes,92.8,8/8
145.220.227.6:8080,SOCKS5,Netherlands,NL,🇳🇱,0,low,No,SURFnet III d,616,Yes,91.5,7/8
45.74.31.42:8008,SOCKS5,Netherlands,NL,🇳🇱,0,low,Yes,Secure Internet LLC,1624,Yes,103.8,7/8
45.74.31.22:47818,SOCKS5,Netherlands,NL,🇳🇱,0,low,Yes,Secure Internet LLC,2452,Yes,85.3,7/8
45.74.31.40:15575,SOCKS5,Netherlands,NL,🇳🇱,0,low,Yes,Secure Internet LLC,2035,Yes,87.9,7/8
145.220.227.4:1080,SOCKS5,Netherlands,NL,🇳🇱,0,low,No,SURFnet III d,1647,Yes,91.2,7/8
45.74.31.23:15719,SOCKS5,Netherlands,NL,🇳🇱,0,low,Yes,Secure Internet LLC,1927,Yes,92.8,7/8
45.74.31.40:9696,SOCKS5,Netherlands,NL,🇳🇱,0,low,Yes,Secure Internet LLC,2507,Yes,87.9,7/8
45.74.31.42:7935,SOCKS5,Netherlands,NL,🇳🇱,0,low,Yes,Secure Internet LLC,2722,Yes,88.9,7/8
45.74.31.42:8447,SOCKS5,Netherlands,NL,🇳🇱,0,low,Yes,Secure Internet LLC,1531,Yes,103.8,7/8
45.74.31.22:15426,SOCKS5,Netherlands,NL,🇳🇱,0,low,Yes,Secure Internet LLC,1963,Yes,85.3,7/8
5.253.59.150:1082,SOCKS5,Netherlands,NL,🇳🇱,0,low,No,Global Connectivity Solutions LLP,910,Yes,88.5,7/8
45.74.31.22:4207,SOCKS5,Netherlands,NL,🇳🇱,0,low,Yes,Secure Internet LLC,2728,Yes,85.3,7/8
45.74.31.22:10032,SOCKS5,Netherlands,NL,🇳🇱,0,low,Yes,Secure Internet LLC,2801,Yes,85.4,7/8
45.74.31.22:10822,SOCKS5,Netherlands,NL,🇳🇱,0,low,Yes,Secure Internet LLC,2404,Yes,85.3,7/8
45.74.31.40:41323,SOCKS5,Netherlands,NL,🇳🇱,0,low,Yes,Secure Internet LLC,2458,Yes,87.6,7/8
45.74.31.40:9696,SOCKS5,Netherlands,NL,🇳🇱,0,low,Yes,Secure Internet LLC,2289,Yes,87.7,7/8
45.74.31.22:9967,SOCKS5,Netherlands,NL,🇳🇱,0,low,Yes,Secure Internet LLC,2400,Yes,85.3,7/8
