Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP
188.143.166.52:80,SOCKS5,Russia,RU,🇷🇺,0,low,No,PIN morespecific
178.216.152.110:1528,SOCKS5,Russia,RU,🇷🇺,0,low,No,Zummer LLC
178.216.152.110:1955,SOCKS5,Russia,RU,🇷🇺,0,low,No,Zummer LLC
94.73.251.19:1080,SOCKS5,Russia,RU,🇷🇺,0,low,No,Orion Telecom LLC
178.216.152.110:1452,SOCKS5,Russia,RU,🇷🇺,0,low,No,Zummer LLC
5.8.204.148:7080,SOCKS5,Russia,RU,🇷🇺,0,low,No,"CJSC ""Transtelecom-DV"""
178.216.152.110:1950,SOCKS5,Russia,RU,🇷🇺,0,low,No,Zummer LLC
178.216.152.110:1981,SOCKS5,Russia,RU,🇷🇺,0,low,No,Zummer LLC
82.114.228.67:1080,SOCKS5,Russia,RU,🇷🇺,0,low,No,SCTS
185.135.81.149:9060,SOCKS5,Russia,RU,🇷🇺,0,low,No,Adman LLC
91.210.151.184:1080,SOCKS5,Russia,RU,🇷🇺,0,low,No,"Ltd. ""Cypher"""
62.109.1.115:1080,SOCKS5,Russia,RU,🇷🇺,0,low,No,WEBDC
178.216.152.110:1289,SOCKS5,Russia,RU,🇷🇺,0,low,No,Zummer LLC
192.144.15.110:1080,SOCKS5,Russia,RU,🇷🇺,0,low,No,"""Cloud Technologies"" LLC trading as Cloud.ru"
193.233.216.206:1080,SOCKS5,Russia,RU,🇷🇺,0,low,No,Aeza Group LLC
80.90.188.187:24530,SOCKS5,Russia,RU,🇷🇺,3,low,No,"JSC ""TIMEWEB"""
185.252.147.44:1080,SOCKS5,Russia,RU,🇷🇺,12,low,No,First Server Limited
