Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
5.167.171.79:1080,SOCKS5,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,6788,Not Checked,,
45.74.31.30:9381,SOCKS5,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,2322,Not Checked,,
45.74.31.30:6546,SOCKS5,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,2527,Not Checked,,
85.192.2.50:1080,SOCKS5,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,2698,Not Checked,,
118.179.144.113:9090,SOCKS5,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,7580,Not Checked,,
45.74.31.30:6683,SOCKS5,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,3110,Not Checked,,
45.74.31.30:5570,SOCKS5,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,3304,Not Checked,,
45.74.31.42:7766,SOCKS5,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,2935,Not Checked,,
45.74.31.30:8412,SOCKS5,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,3907,Not Checked,,
45.74.31.42:9403,SOCKS5,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,4039,Not Checked,,
45.74.31.42:9852,SOCKS5,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,2542,Not Checked,,
45.74.31.42:14449,SOCKS5,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,3934,Not Checked,,
45.74.31.42:5728,SOCKS5,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,4807,Not Checked,,
45.74.31.30:4791,SOCKS5,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,5298,Not Checked,,
45.74.31.42:15988,SOCKS5,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,5532,Not Checked,,
194.53.54.201:8090,SOCKS5,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,5156,Not Checked,,
72.207.109.5:4145,SOCKS5,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1156,Not Checked,,
95.31.19.190:1080,SOCKS5,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1509,Not Checked,,
93.127.133.109:1082,SOCKS5,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,390,Not Checked,,
103.197.48.209:1080,SOCKS5,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,3554,Not Checked,,
61.9.32.30:58765,SOCKS5,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,2809,Not Checked,,
103.103.146.149:7080,SOCKS5,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,5131,Not Checked,,
5.3.153.163:1080,SOCKS5,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,8656,Not Checked,,
103.191.218.119:69,SOCKS5,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,4252,Not Checked,,
77.108.100.166:1080,SOCKS5,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,8540,Not Checked,,
103.161.104.96:1080,SOCKS5,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,4683,Not Checked,,
194.61.120.238:1080,SOCKS5,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,3510,Not Checked,,
217.25.229.244:2080,SOCKS5,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1245,Not Checked,,
103.166.158.105:8199,SOCKS5,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,5102,Not Checked,,
140.238.43.53:54322,SOCKS5,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,9230,Not Checked,,
150.129.115.253:6667,SOCKS5,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,7519,Not Checked,,
5.255.103.55:1080,SOCKS5,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,9108,Not Checked,,
85.172.81.216:1080,SOCKS5,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1664,Not Checked,,
49.13.22.249:10801,SOCKS5,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1341,Not Checked,,
95.84.178.39:1080,SOCKS5,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,8749,Not Checked,,
103.142.255.32:1080,SOCKS5,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,3053,Not Checked,,
140.238.28.230:10808,SOCKS5,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,3403,Not Checked,,
198.252.108.20:9050,SOCKS5,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,10618,Not Checked,,
87.225.107.8:1080,SOCKS5,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,2209,Not Checked,,
47.74.46.81:31433,SOCKS5,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,7431,Not Checked,,
202.62.42.92:1080,SOCKS5,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,3084,Not Checked,,
8.213.197.208:8118,SOCKS5,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,8328,Not Checked,,
84.201.144.65:10007,SOCKS5,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,2215,Not Checked,,
101.2.166.41:1080,SOCKS5,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,9848,Not Checked,,
